Timestamp,Process Temp,Process Temp SP,Steam Flow Rate,Steam Totalizer,QualSteam Valve Opening,Inlet Steam Pressure,Outlet Steam Pressure,Pressure SP
2025-11-01 04:43:00,55.6,52.1,0.0,3469.76196289,100.0,4.1,3.5,2.5
2025-11-01 04:44:00,52.7,52.1,0.0,3469.91894531,72.5,4.1,4.1,2.5
2025-11-01 04:45:00,52.4,52.0,0.0,3470.06005859,91.0,4.1,4.1,2.5
2025-11-01 04:46:00,52.1,52.1,0.0,3470.12744141,74.6,4.2,4.2,2.5
2025-11-01 04:47:00,51.8,52.1,57.63085556,3471.66650391,66.6,4.0,3.6,2.5
2025-11-01 04:48:00,51.9,52.0,0.0,3472.09790039,100.0,4.0,4.0,2.5
2025-11-01 04:49:00,52.0,52.1,111.53032684,3473.54663086,100.0,3.7,3.4,2.5
2025-11-01 04:50:00,52.1,52.1,107.08673096,3475.17138672,100.0,3.5,2.6,2.5
2025-11-01 04:51:00,52.1,52.1,73.05731964,3476.74414062,91.0,4.0,3.9,2.5
2025-11-01 04:52:00,52.4,52.1,0.0,3477.17504883,84.3,4.0,4.0,2.5
2025-11-01 04:53:00,52.5,52.0,0.0,3477.30004883,96.3,4.1,4.1,2.5
2025-11-01 04:54:00,52.2,52.1,0.0,3477.39013672,100.0,4.2,4.2,2.5
2025-11-01 04:55:00,52.2,52.0,0.0,3477.39013672,68.5,4.2,4.2,2.5
2025-11-01 04:56:00,51.9,52.1,115.96485138,3477.72290039,97.1,3.9,3.7,2.5
2025-11-01 04:57:00,51.9,52.0,113.74866486,3479.43457031,82.6,3.8,3.0,2.5
2025-11-01 04:58:00,51.9,52.1,109.30967712,3481.68261719,93.0,3.6,3.0,2.5
2025-11-01 04:59:00,52.2,52.1,0.0,3482.52807617,73.3,4.1,4.1,2.5
2025-11-01 05:00:00,51.9,52.0,98.89265442,3482.6574707,98.6,4.2,4.1,2.5
